CRICKET O 2.948495677505337E-4
- O 0.007329960254278268
LEICESTERSHIRE B-MISC 1.0
TAKE B-MISC 1.0
OVER B-MISC 1.0
AT O 7.725058675063983E-4
TOP B-MISC 1.0
AFTER O 7.666088761513875E-5
INNINGS B-MISC 1.0
VICTORY B-MISC 1.0
. O 0.04341365035558858

LONDON I-LOC 0.011223750905141203
1996-08-30 O 5.307292219509606E-5

West I-LOC 0.005551532705768767
Indian I-MISC 0.0046093064091308165
all-rounder B-MISC 1.0
Phil I-PER 5.391804457225018E-4
Simmons B-MISC 1.0
took O 4.481713429808112E-4
four O 6.899479885362488E-4
for O 0.008291169845145007
38 O 1.0614584439019212E-4
on O 0.012006274398801732
Friday O 0.001067355435256932
as O 0.0035499887957164255
Leicestershire I-ORG 8.999100089991E-4
beat O 0.0019754921039285755
Somerset I-ORG 6.999300069993001E-4
by O 0.004222245810187642
an O 0.0029897746169904116
innings O 4.422743516258005E-4
and O 0.016446708889124768
39 O 8.255787897014943E-5
runs O 3.420254985906191E-4
in O 0.019990800693486185
two O 0.0020580499828987252
days O 4.363773602707898E-4
to O 0.0199436247626461
take O 4.717593084008539E-4
over O 0.0015980846572078925
at O 0.005484201960159927
the O 0.042582174574532075
head O 2.476736369104483E-4
of O 0.021329417731073608
the O 0.042582174574532075
county O 6.48669049051174E-5
championship O 2.7715859368550164E-4
. O 0.04341365035558858

Their O 5.307292219509606E-5
stay O 1.1793982710021347E-4
on O 0.012006274398801732
top O 3.06643550460555E-4
, O 0.04290061210770265
though O 8.255787897014943E-5
, O 0.04290061210770265
may O 2.71261602330491E-4
be O 0.0030959204613806037
short-lived B-MISC 1.0
as O 0.0035499887957164255
title O 1.5921876658528817E-4
rivals O 4.7175930840085385E-5
Essex I-ORG 0.0014998500149985001
, O 0.04290061210770265
Derbyshire B-MISC 1.0
and O 0.016446708889124768
Surrey I-ORG 0.0011998800119988001
all O 7.548148934413662E-4
closed O 2.594676196204696E-4
in O 0.019990800693486185
on O 0.012006274398801732
victory O 4.1278939485074715E-4
while O 5.42523204660982E-4
Kent I-ORG 7.999200079992001E-4
made O 6.191840922761207E-4
up O 0.0018516552854733516
for O 0.008291169845145007
lost O 6.014931182110887E-4
time O 8.49166755121537E-4
in O 0.019990800693486185
their O 0.002040359008833693
rain-affected B-MISC 1.0
match O 7.076389626012808E-4
against O 0.0013916899597825189
Nottinghamshire I-ORG 8.999100089991E-4
. O 0.04341365035558858

After O 1.4742478387526684E-4
bowling B-MISC 1.0
Somerset I-ORG 6.999300069993001E-4
out O 0.001716024484308106
for O 0.008291169845145007
83 O 4.127893948507472E-5
on O 0.012006274398801732
the O 0.042582174574532075
opening O 1.8280673200533087E-4
morning O 2.476736369104483E-4
